AI,"Arlington Asset Investment Corp Class A (new)",https://www.nyse.com/quote/XNYS:AI,N/A,16.90,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=AI&f=opdr1ye&e=.csv"",""open"":""14.90"",""close"":""14.85"",""dividend"":""N\/A"",""div paydate"":""4\/28\/2017"",""div yield"":""16.90"",""eps"":0}",0,-1,0
AMID,"American Midstream Partners, LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:AMID,N/A,12.27,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=AMID&f=opdr1ye&e=.csv"",""open"":""11.60"",""close"":""11.70"",""dividend"":""N\/A"",""div paydate"":""5\/12\/2017"",""div yield"":""12.27"",""eps"":0}",0,-1,0
ARCX,"Arc Logistic Partners LP Common Units representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:ARCX,1.76,11.96,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=ARCX&f=opdr1ye&e=.csv"",""open"":""14.38"",""close"":""14.40"",""dividend"":""1.76"",""div paydate"":""5\/15\/2017"",""div yield"":""11.96"",""eps"":""0.69""}",0.69,2.5507246376812,28327.699983905
BPT,"BP Prudhoe Bay Royalty Trust",https://www.nyse.com/quote/XNYS:BPT,4.39,21.12,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=BPT&f=opdr1ye&e=.csv"",""open"":""20.30"",""close"":""20.30"",""dividend"":""4.39"",""div paydate"":""4\/20\/2017"",""div yield"":""21.12"",""eps"":""2.43""}",2.43,1.8065843621399,70658.297118944
BX,"The Blackstone Group LP Common Units Representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:BX,3.48,10.66,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=BX&f=opdr1ye&e=.csv"",""open"":""32.82"",""close"":""32.94"",""dividend"":""3.48"",""div paydate"":""5\/8\/2017"",""div yield"":""10.66"",""eps"":""2.03""}",2.03,1.7142857142857,56011.588604539
CAPL,"CrossAmerica Partners LP Common Units representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:CAPL,2.47,10.00,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CAPL&f=opdr1ye&e=.csv"",""open"":""24.31"",""close"":""24.32"",""dividend"":""2.47"",""div paydate"":""5\/15\/2017"",""div yield"":""10.00"",""eps"":""0.21""}",0.21,11.761904761905,39755.351681957
CELP,"Cypress Energy Partners, LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:CELP,N/A,11.7500,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CELP&f=opdr1ye&e=.csv"",""open"":""7.0520"",""close"":""7.1200"",""dividend"":""N\/A"",""div paydate"":""5\/15\/2017"",""div yield"":""11.7500"",""eps"":0}",0,-1,0
CEQP,"Crestwood Equity Partners LP",https://www.nyse.com/quote/XNYS:CEQP,N/A,11.27,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CEQP&f=opdr1ye&e=.csv"",""open"":""20.30"",""close"":""20.20"",""dividend"":""N\/A"",""div paydate"":""5\/15\/2017"",""div yield"":""11.27"",""eps"":0}",0,-1,0
CHKR,"Chesapeake Granite Wash Trust Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:CHKR,0.4000,16.7500,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CHKR&f=opdr1ye&e=.csv"",""open"":""2.3000"",""close"":""2.3000"",""dividend"":""0.4000"",""div paydate"":""6\/1\/2017"",""div yield"":""16.7500"",""eps"":""0.2180""}",0.2180,1.8348623853211,6438.1136327056
CLM,"Cornerstone Strategic Value Fund, Inc. New",https://www.nyse.com/quote/XASE:CLM,2.79,17.93,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CLM&f=opdr1ye&e=.csv"",""open"":""14.70"",""close"":""14.59"",""dividend"":""2.79"",""div paydate"":""7\/31\/2017"",""div yield"":""17.93"",""eps"":""1.10""}",1.10,2.5363636363636,44905.842588122
